204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /api/test HTTP/1.1" 404 435 "-" "Mozilla/5.0 (X11; Linux i686 on x86_64; rv:16.0) Gecko/20100101 Firefox/16.0"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /reactjs/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.2.3) Gecko/20100404 Ubuntu/10.04 (lucid) Firefox/3.6.3"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /?format=json HTTP/1.1" 200 2247 "-" "Mozilla/5.0 (X11; U; Windows NT 5.1; en-US; rv:1.9.0.7) Gecko/2009021910 Firefox/3.0.7"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /projeto/.env HTTP/1.1" 404 2834 "-" "Mozilla/4.0 (compatible; MSIE 6.0b; Windows NT 5.0; .NET CLR 1.0.3705)"
204.76.203.213 - - [14/Oct/2025:00:23:20 +0000] "GET /stag/.env HTTP/1.1" 404 2836 "-" "Mozilla/5.0 (Linux; U; Android 2.3.4; en-ca; GT-S5830D Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
204.76.203.213 - - [14/Oct/2025:00:23:20 +0000] "GET /media/.env HTTP/1.1" 404 2834 "-" "Mozilla/5.0 (Linux; U; Android 2.3.5; sv-se; U8510 Build/HuaweiU8510) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
204.76.203.213 - - [14/Oct/2025:00:23:20 +0000] "GET /admin/.env.js HTTP/1.1" 404 2836 "-" "Mozilla/5.0 (iPhone; CPU OS 7.0.4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) 1Password/4.3.2 (like Version/11B554a Mobile/7.0.4 Safari/8536.25)"
204.76.203.213 - - [14/Oct/2025:00:23:20 +0000] "GET /uat/env.json HTTP/1.1" 404 2836 "-" "Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.7.10) Gecko/20050919 (No IDN) Firefox/1.0.6"
204.76.203.213 - - [14/Oct/2025:00:23:20 +0000] "GET /portal/.env HTTP/1.1" 404 2836 "-" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en-us) AppleWebKit/85.7 (KHTML, like Gecko) Safari/85.6"
204.76.203.213 - - [14/Oct/2025:00:23:20 +0000] "GET /qa/.env.dist HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0; BOIE9;ENCA)"
204.76.203.213 - - [14/Oct/2025:00:23:20 +0000] "GET /src/.env.dev HTTP/1.1" 404 2834 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8"
204.76.203.213 - - [14/Oct/2025:00:23:20 +0000] "GET /src/.env.bak HTTP/1.1" 404 2836 "-" "Mozilla/5.0 (Linux; Android 4.4.2; SM-G7102 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
204.76.203.213 - - [14/Oct/2025:00:23:21 +0000] "GET /tmp/.env.tmp HTTP/1.1" 404 2834 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
204.76.203.213 - - [14/Oct/2025:00:23:21 +0000] "GET /twilio/.env HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (compatible; WOW64; MSIE 10.0; Windows NT 6.2)"
204.76.203.213 - - [14/Oct/2025:00:23:21 +0000] "GET /adminapp/.env HTTP/1.1" 404 2836 "-" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.78 Safari/537.36 OPR/47.0.2631.55"
204.76.203.213 - - [14/Oct/2025:00:23:21 +0000] "GET /api/test HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_5 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) CriOS/64.0.3282.112 Mobile/15D60 Safari/604.1"
204.76.203.213 - - [14/Oct/2025:00:23:22 +0000] "GET /reactjs/.env HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32 (Edition Campaign 70)"
204.76.203.213 - - [14/Oct/2025:00:23:22 +0000] "GET /?format=json HTTP/1.1" 200 4646 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; zh-cn; T21 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
204.76.203.219 - - [14/Oct/2025:00:25:20 +0000] "GET / HTTP/1.1" 200 1360 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
79.124.40.174 - - [14/Oct/2025:00:31:54 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 1323 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
95.215.0.144 - - [14/Oct/2025:00:37:07 +0000] "\x16\x03\x01\x05\xa8\x01" 400 505 "-" "-"
95.215.0.144 - - [14/Oct/2025:00:37:07 +0000] "GET /aaa9 HTTP/1.1" 404 454 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
95.215.0.144 - - [14/Oct/2025:00:37:07 +0000] "\x16\x03\x01\x05\xa8\x01" 400 505 "-" "-"
95.215.0.144 - - [14/Oct/2025:00:37:08 +0000] "GET /aab9 HTTP/1.1" 404 454 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
87.121.84.101 - - [14/Oct/2025:00:44:39 +0000] "GET / HTTP/1.0" 200 2266 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0"
185.244.104.2 - - [14/Oct/2025:00:50:27 +0000] "PROPFIND / HTTP/1.1" 405 3137 "http://13.81.122.97:443/" "-"
78.153.140.147 - - [14/Oct/2025:00:50:57 +0000] "GET /.env HTTP/1.1" 404 491 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.147 - - [14/Oct/2025:00:50:57 +0000] "POST / HTTP/1.1" 200 1360 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
198.235.24.27 - - [14/Oct/2025:00:57:53 +0000] "\x16\x03\x01" 400 505 "-" "-"
198.235.24.27 - - [14/Oct/2025:00:57:53 +0000] "\x16\x03\x01" 400 505 "-" "-"
139.5.30.10 - - [14/Oct/2025:01:21:48 +0000] "GET /boaform/admin/formLogin?username=ec8&psd=ec8 HTTP/1.0" 404 473 "-" "-"
185.244.104.2 - - [14/Oct/2025:01:30:53 +0000] "PROPFIND / HTTP/1.1" 405 3138 "http://13.81.122.97:443/" "-"
45.156.128.195 - - [14/Oct/2025:01:37:51 +0000] "GET / HTTP/1.1" 200 3736 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
45.156.128.195 - - [14/Oct/2025:01:37:52 +0000] "GET /favicon.ico HTTP/1.1" 200 18381 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
45.156.128.195 - - [14/Oct/2025:01:37:53 +0000] "GET / HTTP/1.1" 200 3737 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
45.156.128.199 - - [14/Oct/2025:01:37:53 +0000] "GET /aspera/faspex/ HTTP/1.1" 404 2896 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
45.156.128.195 - - [14/Oct/2025:01:37:53 +0000] "GET /license.txt HTTP/1.1" 404 2894 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
45.156.128.195 - - [14/Oct/2025:01:37:55 +0000] "GET /wp-json HTTP/1.1" 404 2895 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
146.70.166.138 - - [14/Oct/2025:01:39:32 +0000] "GET / HTTP/1.1" 200 1304 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
204.76.203.212 - - [14/Oct/2025:01:42:30 +0000] "GET / HTTP/1.1" 200 1360 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
196.251.87.102 - - [14/Oct/2025:01:48:40 +0000] "GET /.env HTTP/1.1" 404 3068 "-" "Mozilla/5.0 (iPad; CPU OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148;WeRead/4.1.3 (iPad; iOS 12.3.1; Scale/2.00)"
196.251.87.102 - - [14/Oct/2025:01:48:46 +0000] "GET /.env HTTP/1.1" 404 454 "-" "Mozilla/5.0 (Linux; Android 9; MHA-AL00 Build/HUAWEIMHA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 MMWEBID/9772 MicroMessenger/7.0.6.1460(0x27000634) Process/tools NetType/WIFI Language/zh_CN"
87.120.191.91 - - [14/Oct/2025:01:49:32 +0000] "GET / HTTP/1.1" 200 1360 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
88.210.63.182 - - [14/Oct/2025:02:05:03 +0000] "\x16\x03\x01\x05\xc4\x01" 400 505 "-" "-"
88.210.63.182 - - [14/Oct/2025:02:05:04 +0000] "\x16\x03\x01\x05\xc4\x01" 400 505 "-" "-"
88.210.63.182 - - [14/Oct/2025:02:05:06 +0000] "\x16\x03\x01\x05\xc4\x01" 400 505 "-" "-"
88.210.63.182 - - [14/Oct/2025:02:05:07 +0000] "\x16\x03\x01\x05\xc4\x01" 400 505 "-" "-"
88.210.63.182 - - [14/Oct/2025:02:05:08 +0000] "\x16\x03\x01\x05\xc4\x01" 400 505 "-" "-"
88.210.63.182 - - [14/Oct/2025:02:05:10 +0000] "\x16\x03\x01\x05\xc4\x01" 400 505 "-" "-"
185.244.104.2 - - [14/Oct/2025:02:16:25 +0000] "PROPFIND / HTTP/1.1" 405 3138 "http://13.81.122.97:443/" "-"
176.65.141.87 - - [14/Oct/2025:02:18:58 +0000] "GET / HTTP/1.1" 200 2247 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246"
79.124.40.174 - - [14/Oct/2025:02:19:06 +0000] "GET /actuator/gateway/routes HTTP/1.1" 404 454 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
204.76.203.219 - - [14/Oct/2025:02:19:40 +0000] "GET / HTTP/1.1" 200 1360 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
115.248.8.65 - - [14/Oct/2025:02:29:56 +0000] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 486 "-" "libredtail-http"
115.248.8.65 - - [14/Oct/2025:02:29:58 +0000] "POST /cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1" 400 486 "-" "libredtail-http"
115.248.8.65 - - [14/Oct/2025:02:30:01 +0000] "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 404 491 "-" "libredtail-http"
115.248.8.65 - - [14/Oct/2025:02:30:03 +0000] "POST /?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 200 2302 "-" "libredtail-http"
115.248.8.65 - - [14/Oct/2025:02:30:04 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 404 490 "-" "libredtail-http"
115.248.8.65 - - [14/Oct/2025:02:30:05 +0000] "GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 404 490 "-" "libredtail-http"
